countryName,countryEnglishName,province_confirmedCount,updateTime,,,,,
圣马力诺,San Marino,695,2020/6/15,,,,,
泽西岛,Bailiwick of Jersey,313,2020/6/15,,,,,
赞比亚共和国,,1357,2020/6/15,,,,,
马提尼克,Martinique,202,2020/6/15,,,,,
法罗群岛,Faroe,187,2020/6/15,,,,,
布基纳法索,Burkina Faso,892,2020/6/15,,,,,
尼日尔,Niger,978,2020/6/15,,,,,
蒙古,Mongolia,197,2020/6/15,,,,,
乌拉圭,Uruguay,847,2020/6/15,,,,,
特立尼达和多巴哥,Trinidad and Tobago,117,2020/6/15,,,,,
阿鲁巴,,101,2020/6/15,,,,,
巴哈马,Bahamas,103,2020/6/15,,,,,
巴巴多斯,Barbados,96,2020/6/15,,,,,
布隆迪共和国,,94,2020/6/15,,,,,
美属维尔京群岛,,72,2020/6/15,,,,,
博茨瓦纳,Botswana,60,2020/6/15,,,,,
库拉索岛,,22,2020/6/15,,,,,
伯利兹,Belize,20,2020/6/15,,,,,
多米尼克,,18,2020/6/15,,,,,
柬埔寨,Kampuchea (Cambodia ),126,2020/6/15,,,,,
毛里求斯,Mauritius,337,2020/6/15,,,,,
黑山,,324,2020/6/15,,,,,
瑞典,Sweden,51614,2020/6/14,,,,,
玻利维亚,Bolivia,16929,2020/6/14,,,,,
伊拉克,Iraq,20209,2020/6/14,,,,,
多米尼加,Dominican Republic,22008,2020/6/14,,,,,
巴拿马,Panama,20059,2020/6/14,,,,,
刚果（金）,Democratic Republic of the Congo,4777,2020/6/14,,,,,
以色列,Israel,19008,2020/6/14,,,,,
埃塞俄比亚,Ethiopia,3345,2020/6/14,,,,,
保加利亚,Bulgaria,3191,2020/6/14,,,,,
丹麦,Denmark,12193,2020/6/14,,,,,
尼加拉瓜,Nicaragua,1655,2020/6/14,,,,,
匈牙利,Hungary,4064,2020/6/14,,,,,
阿鲁巴,,101,2020/6/14,,,,,
毛里求斯,Mauritius,337,2020/6/14,,,,,
美国,United States of America,2075840,2020/6/14,,,,,
英国,United Kingdom,295889,2020/6/14,,,,,
印度,India,320922,2020/6/14,,,,,
秘鲁,Peru,225132,2020/6/14,,,,,
卡塔尔,Qatar,79602,2020/6/14,,,,,
乌克兰,Ukraine,30506,2020/6/14,,,,,
科威特,Kuwait,35920,2020/6/14,,,,,
哈萨克斯坦,Kazakhstan,16087,2020/6/14,,,,,
洪都拉斯,Honduras,7669,2020/6/14,,,,,
萨尔瓦多,El Salvador,3481,2020/6/14,,,,,
委内瑞拉,Venezuela,2814,2020/6/14,,,,,
加蓬,Gabon,3463,2020/6/14,,,,,
肯尼亚,Kenya,3594,2020/6/14,,,,,
乍得,Chad,848,2020/6/14,,,,,
挪威,Norway,8606,2020/6/14,,,,,
巴勒斯坦,Palestine,669,2020/6/14,,,,,
赞比亚共和国,,1357,2020/6/14,,,,,
关岛,Guam,176,2020/6/14,,,,,
沙特阿拉伯,Saudi Arabia,127541,2020/6/14,,,,,
加纳,Ghana,11422,2020/6/14,,,,,
塔吉克斯坦,Tajikstan,4902,2020/6/14,,,,,
突尼斯,Tunisia,1093,2020/6/14,,,,,
巴西,Brazil,850796,2020/6/14,,,,,
俄罗斯,Russia,528964,2020/6/14,,,,,
智利,Chile,167355,2020/6/14,,,,,
巴基斯坦,Pakistan,141517,2020/6/14,,,,,
孟加拉国,Bangladesh,87520,2020/6/14,,,,,
西班牙,Spain,243605,2020/6/14,,,,,
法国,France,156813,2020/6/14,,,,,
厄瓜多尔,Ecuador,45778,2020/6/14,,,,,
比利时,Belgium,60029,2020/6/14,,,,,
加拿大,Canada,98410,2020/6/14,,,,,
荷兰,Netherlands,48461,2020/6/14,,,,,
埃及,Egypt,42980,2020/6/14,,,,,
伊朗,Iran,187427,2020/6/14,,,,,
哥伦比亚,Colombia,48746,2020/6/14,,,,,
意大利,Italy,236651,2020/6/14,,,,,
南非,South Africa,65736,2020/6/14,,,,,
白俄罗斯,Belarus,53241,2020/6/14,,,,,
土耳其,Turkey,176677,2020/6/14,,,,,
印度尼西亚,Indonesia,38277,2020/6/14,,,,,
墨西哥,Mexico,142690,2020/6/14,,,,,
阿根廷,Argentina,30295,2020/6/14,,,,,
阿富汗,Afghanistan,24102,2020/6/14,,,,,
菲律宾,Philippines,25930,2020/6/14,,,,,
阿联酋,United Arab Emirates,41990,2020/6/14,,,,,
阿曼,Oman,23481,2020/6/14,,,,,
新加坡,Singapore,40604,2020/6/14,,,,,
波兰,Poland,29392,2020/6/14,,,,,
葡萄牙,Portugal,36180,2020/6/14,,,,,
亚美尼亚,Armenia,16667,2020/6/14,,,,,
尼日利亚,Nigeria,15682,2020/6/14,,,,,
危地马拉,Guatemala,8561,2020/6/14,,,,,
巴林,Bahrain,17713,2020/6/14,,,,,
摩尔多瓦,Moldova,11093,2020/6/14,,,,,
波多黎各,Puerto Rico,5536,2020/6/14,,,,,
德国,Germany,186269,2020/6/14,,,,,
尼泊尔,Nepal,5760,2020/6/14,,,,,
罗马尼亚,Romania,21679,2020/6/14,,,,,
阿塞拜疆,Azerbaijan,9570,2020/6/14,,,,,
苏丹,Sudan,7007,2020/6/14,,,,,
海地,Haiti,3941,2020/6/14,,,,,
喀麦隆,Cameroon,8743,2020/6/14,,,,,
阿尔及利亚,Algeria,10810,2020/6/14,,,,,
科特迪瓦,Ivory Coast,4684,2020/6/14,,,,,
捷克,Czech Republic,9960,2020/6/14,,,,,
马约特,,2268,2020/6/14,,,,,
日本,Japan,17508,2020/6/14,,,,,
吉布提,Djibouti,4441,2020/6/14,,,,,
北马其顿,North Macedonia,3895,2020/6/14,,,,,
索马里,Somali,2579,2020/6/14,,,,,
中非共和国,Central African Republic,2057,2020/6/14,,,,,
塞内加尔,Senegal,5090,2020/6/14,,,,,
古巴,Cuba,2233,2020/6/14,,,,,
南苏丹,,1670,2020/6/14,,,,,
哥斯达黎加,Costa Rica,1538,2020/6/14,,,,,
希腊,Greece,3108,2020/6/14,,,,,
奥地利,Austria,16994,2020/6/14,,,,,
几内亚比绍,,1460,2020/6/14,,,,,
毛里塔尼亚,The Islamic Republic of Mauritania,1682,2020/6/14,,,,,
几内亚,Guinea,4484,2020/6/14,,,,,
赤道几内亚,The Republic of Equatorial Guinea,1664,2020/6/14,,,,,
乌兹别克斯坦,Uzbekistan,4994,2020/6/14,,,,,
韩国,Korea,12085,2020/6/14,,,,,
